"A-B","A","B","A","B","A","B","Networks","Wrong","pNI","pInt"
"54331-79068","79068","54331","Gene Link","Gene Link","FTO","GNG2","BioPlex_3_0, BioPlexHCT_1_0","0, 0","0.0012, 0.0004","0.9988, 0.9996"
"494197-79068","79068","494197","Gene Link","Gene Link","FTO","SPANXN5","BioPlex_3_0","0","0.0035","0.9965"
"441525-79068","79068","441525","Gene Link","Gene Link","FTO","SPANXN4","BioPlex_3_0","0","0.0055","0.9945"
"55644-79068","79068","55644","Gene Link","Gene Link","FTO","OSGEP","BioPlexHCT_1_0","0.0012","0.02","0.9788"
"2882-79068","79068","2882","Gene Link","Gene Link","FTO","GPX7","BioPlex_3_0","0","0.0391","0.9609"
"9607-79068","79068","9607","Gene Link","Gene Link","FTO","CARTPT","BioPlex_3_0","0","0.0509","0.9491"
"55602-79068","79068","55602","Gene Link","Gene Link","FTO","CDKN2AIP","BioPlex_3_0","0","0.0758","0.9242"
"2244-79068","79068","2244","Gene Link","Gene Link","FTO","FGB","BioPlex_3_0","0","0.076","0.924"
"130540-79068","79068","130540","Gene Link","Gene Link","FTO","FLACC1","BioPlexHCT_1_0","0.0023","0.0812","0.9164"
"27297-79068","79068","27297","Gene Link","Gene Link","FTO","CRCP","BioPlexHCT_1_0","0.0023","0.0891","0.9087"
"7775-79068","79068","7775","Gene Link","Gene Link","FTO","ZNF232","BioPlex_3_0","0","0.0931","0.9069"
"200734-79068","79068","200734","Gene Link","Gene Link","FTO","SPRED2","BioPlexHCT_1_0","0.0024","0.1064","0.8911"
"64393-79068","79068","64393","Gene Link","Gene Link","FTO","ZMAT3","BioPlex_3_0","0","0.1122","0.8878"
"9781-79068","79068","9781","Gene Link","Gene Link","FTO","RNF144A","BioPlexHCT_1_0","0.0008","0.1164","0.8828"
"27315-79068","79068","27315","Gene Link","Gene Link","FTO","PGAP2","BioPlexHCT_1_0","0.0041","0.119","0.8768"
"148223-79068","79068","148223","Gene Link","Gene Link","FTO","C19orf25","BioPlex_3_0","0","0.1438","0.8562"
"6518-79068","79068","6518","Gene Link","Gene Link","FTO","SLC2A5","BioPlexHCT_1_0","0.003","0.1414","0.8556"
"64110-79068","79068","64110","Gene Link","Gene Link","FTO","MAGEF1","BioPlexHCT_1_0","0.003","0.1414","0.8556"
"54101-79068","79068","54101","Gene Link","Gene Link","FTO","RIPK4","BioPlexHCT_1_0","0.002","0.1446","0.8534"
"57089-79068","79068","57089","Gene Link","Gene Link","FTO","ENTPD7","BioPlexHCT_1_0","0.002","0.1446","0.8534"
"136319-79068","79068","136319","Gene Link","Gene Link","FTO","MTPN","BioPlex_3_0","0","0.1498","0.8502"
"9-79068","79068","9","Gene Link","Gene Link","FTO","NAT1","BioPlexHCT_1_0","0","0.1563","0.8437"
"94235-79068","79068","94235","Gene Link","Gene Link","FTO","GNG8","BioPlex_3_0","0","0.1683","0.8317"
"257-79068","79068","257","Gene Link","Gene Link","FTO","ALX3","BioPlex_3_0","0","0.1696","0.8303"
"79187-79068","79068","79187","Gene Link","Gene Link","FTO","FSD1","BioPlex_3_0","0","0.1798","0.8202"
"4800-79068","79068","4800","Gene Link","Gene Link","FTO","NFYA","BioPlex_3_0","0","0.1944","0.8056"
"338674-79068","79068","338674","Gene Link","Gene Link","FTO","OR5F1","BioPlex_3_0","0","0.1944","0.8056"
"127253-79068","79068","127253","Gene Link","Gene Link","FTO","TYW3","BioPlex_3_0","0","0.2023","0.7977"
"6382-79068","79068","6382","Gene Link","Gene Link","FTO","SDC1","BioPlex_3_0","0","0.2043","0.7957"
"54769-79068","79068","54769","Gene Link","Gene Link","FTO","DIRAS2","BioPlex_3_0","0","0.2047","0.7953"
"3222-79068","79068","3222","Gene Link","Gene Link","FTO","HOXC5","BioPlex_3_0","0.0054","0.2198","0.7747"
"23089-79068","79068","23089","Gene Link","Gene Link","FTO","PEG10","BioPlexHCT_1_0","0","0.3215","0.6785"
"27166-79068","79068","27166","Gene Link","Gene Link","FTO","PRELID1","BioPlexHCT_1_0","0.0029","0.322","0.6752"